City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Yellowknife,CA,61.32,few clouds,62.456,-114.3525,The Explorer Hotel
1,Khatanga,RU,60.03,moderate rain,71.9667,102.5,"""Khatanga"""
4,Port Alfred,ZA,58.17,broken clouds,-33.5906,26.891,The Halyards Hotel
6,Kaeo,NZ,60.33,few clouds,-35.1,173.7833,Bushido Lodge
8,Cape Town,ZA,59.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
9,Busselton,AU,60.85,overcast clouds,-33.65,115.3333,Observatory Guest House
10,Jamestown,US,62.19,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,Hermanus,ZA,48.79,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
17,New Norfolk,AU,56.7,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
19,Bredasdorp,ZA,48.36,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
20,Mataura,NZ,47.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
21,Ancud,CL,48.22,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
22,Constitucion,CL,49.87,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
25,Karasjok,NO,61.18,overcast clouds,69.4719,25.5112,Karasjok camping AS
27,Chapais,CA,47.98,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
28,East London,ZA,59.94,clear sky,-33.0153,27.9116,Tu Casa
32,Tuktoyaktuk,CA,60.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
34,Husavik,IS,53.42,overcast clouds,66.0449,-17.3389,Bjarnabúð
40,Necochea,AR,51.78,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
42,Hobart,AU,57.06,moderate rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
43,Bluff,NZ,47.8,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
44,Hofn,IS,51.46,light rain,64.2539,-15.2082,Hótel Höfn
45,Provideniya,RU,48.36,clear sky,64.3833,-173.3,
46,Longyearbyen,SJ,48.04,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
48,Port Lincoln,AU,59.38,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
52,Albany,US,61.74,clear sky,42.6001,-73.9662,
57,Luau,AO,60.76,broken clouds,-10.7073,22.2247,Kimbo Hotel
64,Mmabatho,ZA,53.56,light rain,-25.85,25.6333,Mahikeng Guest Apartments
66,Mogadouro,PT,57.74,clear sky,41.3403,-6.7119,Pensão Russo
67,Port Elizabeth,ZA,59.31,clear sky,-33.918,25.5701,39 On Nile Guest House
71,Tarko-Sale,RU,63.99,broken clouds,64.9225,77.785,Yubileynaya
82,Haines Junction,CA,62.55,broken clouds,60.7522,-137.5108,Parkside Inn
83,Chuy,UY,57.94,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
85,Swan Hill,AU,59.18,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
86,Lebu,CL,49.1,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
87,Yar-Sale,RU,60.3,overcast clouds,66.8333,70.8333,Yalemd
89,The Pas,CA,59.02,overcast clouds,53.8251,-101.2541,Wescana Inn
90,Moron,AR,64.98,thunderstorm with light rain,-34.6534,-58.6198,Hotel Morón
101,Moreira Sales,BR,63.73,clear sky,-24.0622,-53.0069,Casa Cristo Rei
102,Lompoc,US,59.14,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
110,Hokitika,NZ,52.41,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
111,Castro,BR,52.2,clear sky,-24.7911,-50.0119,CHACARA BAILLY
114,Margate,GB,61.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
121,Yeniseysk,RU,59.68,light rain,58.4497,92.1703,"""Domino"""
123,Severo-Kurilsk,RU,54.77,overcast clouds,50.6789,156.125,Kak Doma
124,Solec Kujawski,PL,59.67,scattered clouds,53.0837,18.2257,MM-Rooms
127,Bilibino,RU,50.79,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
128,Roma,US,61.66,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
130,Tiksi,RU,55.35,broken clouds,71.6872,128.8694,Arktika
131,Rio Grande,BR,59.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
132,Chokurdakh,RU,62.11,scattered clouds,70.6333,147.9167,
139,Thompson,CA,53.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
142,Maarianhamina,AX,58.86,overcast clouds,60.0973,19.9348,Park Alandia Hotel
143,Grindavik,IS,55.35,moderate rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
146,Fairbanks,US,59.34,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
147,Shellbrook,CA,52.83,few clouds,53.2168,-106.4011,Shellbrook Hotel
