City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Yellowknife,CA,62.456,-114.3525,61.32,67,20,3.44,few clouds
1,Khatanga,RU,71.9667,102.5,60.03,86,100,11.74,moderate rain
2,Ushuaia,AR,-54.8,-68.3,35.26,69,0,4.61,clear sky
3,Yumen,CN,40.2833,97.2,90.7,8,4,15.39,clear sky
4,Port Alfred,ZA,-33.5906,26.891,58.17,85,56,5.01,broken clouds
5,Cassilandia,BR,-19.1133,-51.7342,65.26,42,0,1.59,clear sky
6,Kaeo,NZ,-35.1,173.7833,60.33,79,19,9.82,few clouds
7,Rikitea,PF,-23.1203,-134.9692,74.88,70,74,2.91,light rain
8,Cape Town,ZA,-33.9258,18.4232,59.38,82,4,8.99,clear sky
9,Busselton,AU,-33.65,115.3333,60.85,64,97,4.03,overcast clouds
10,Jamestown,US,42.097,-79.2353,62.19,66,85,1.01,overcast clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,99,3.0,overcast clouds
12,Souillac,MU,-20.5167,57.5167,71.98,78,20,5.75,few clouds
13,Hermanus,ZA,-34.4187,19.2345,48.79,85,31,6.26,scattered clouds
14,Atuona,PF,-9.8,-139.0333,77.56,74,12,17.67,few clouds
15,Champerico,GT,14.3,-91.9167,77.61,83,43,4.41,scattered clouds
16,Dikson,RU,73.5069,80.5464,41.47,99,100,20.67,light rain
17,New Norfolk,AU,-42.7826,147.0587,56.7,77,67,4.0,light rain
18,Komsomolskiy,UZ,40.4272,71.7189,93.92,27,3,11.5,clear sky
19,Bredasdorp,ZA,-34.5322,20.0403,48.36,92,13,4.74,few clouds
20,Mataura,NZ,-46.1927,168.8643,47.48,95,100,3.83,overcast clouds
21,Ancud,CL,-41.8697,-73.8203,48.22,93,85,8.66,overcast clouds
22,Constitucion,CL,-35.3333,-72.4167,49.87,91,85,5.57,overcast clouds
23,Georgetown,MY,5.4112,100.3354,89.53,70,40,10.36,scattered clouds
24,Avarua,CK,-21.2078,-159.775,71.65,64,20,11.5,few clouds
25,Karasjok,NO,69.4719,25.5112,61.18,90,100,3.2,overcast clouds
26,Vicuna,CL,-30.0319,-70.7081,44.33,59,12,0.76,few clouds
27,Chapais,CA,49.7834,-74.8492,47.98,96,32,3.94,scattered clouds
28,East London,ZA,-33.0153,27.9116,59.94,63,0,14.97,clear sky
29,General Roca,AR,-39.0333,-67.5833,39.61,91,100,6.98,overcast clouds
30,Cascais,PT,38.6979,-9.4215,66.94,73,0,23.0,clear sky
31,Ruidoso,US,33.3317,-105.673,65.88,72,83,6.91,broken clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,55,75,25.32,broken clouds
33,Kavieng,PG,-2.5744,150.7967,84.99,64,66,12.97,broken clouds
34,Husavik,IS,66.0449,-17.3389,53.42,79,100,8.48,overcast clouds
35,Ashland,US,40.8167,-82.2665,68.88,93,57,3.69,broken clouds
36,Airai,TL,-8.9266,125.4092,72.25,45,68,5.28,broken clouds
37,Guider,CM,9.9342,13.9486,74.32,87,93,6.31,overcast clouds
38,Mujiayingzi,CN,42.1167,118.7833,83.46,50,91,10.38,overcast clouds
39,Naze,JP,28.3667,129.4833,77.92,71,24,6.98,moderate rain
40,Necochea,AR,-38.5473,-58.7368,51.78,94,100,1.32,overcast clouds
41,Tarakan,ID,3.3,117.6333,83.05,70,100,4.83,overcast clouds
42,Hobart,AU,-42.8794,147.3294,57.06,69,75,10.36,moderate rain
43,Bluff,NZ,-46.6,168.3333,47.8,90,100,18.21,moderate rain
44,Hofn,IS,64.2539,-15.2082,51.46,85,100,3.69,light rain
45,Provideniya,RU,64.3833,-173.3,48.36,71,0,15.99,clear sky
46,Longyearbyen,SJ,78.2186,15.6401,48.04,76,75,3.44,broken clouds
47,Kapaa,US,22.0752,-159.319,82.38,81,75,18.41,light rain
48,Port Lincoln,AU,-34.7333,135.8667,59.38,57,50,15.05,scattered clouds
49,Kalmunai,LK,7.4167,81.8167,85.71,66,97,6.17,moderate rain
50,Soe,ID,-9.8607,124.284,76.6,49,42,11.86,scattered clouds
51,Betong,TH,5.7743,101.0723,90.36,56,48,0.89,scattered clouds
52,Albany,US,42.6001,-73.9662,61.74,85,3,3.2,clear sky
53,Lagunas,PE,-5.2269,-75.6753,68.77,99,98,2.3,overcast clouds
54,Rock Sound,BS,24.9,-76.2,82.81,78,100,14.76,overcast clouds
55,Yerkoy,TR,39.6381,34.4672,71.71,49,0,1.16,clear sky
56,Grand Gaube,MU,-20.0064,57.6608,74.37,67,4,5.99,clear sky
57,Luau,AO,-10.7073,22.2247,60.76,36,52,6.82,broken clouds
58,Beckley,US,37.7782,-81.1882,71.31,96,75,6.91,light rain
59,Vaini,TO,-21.2,-175.2,74.5,72,80,12.86,broken clouds
60,Coihaique,CL,-45.5752,-72.0662,31.95,86,40,2.3,scattered clouds
61,Kahului,US,20.8947,-156.47,80.62,72,40,18.41,scattered clouds
62,Arlit,NE,18.7369,7.3853,91.31,12,20,9.15,few clouds
63,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.24,83,9,7.09,clear sky
64,Mmabatho,ZA,-25.85,25.6333,53.56,71,75,9.22,light rain
65,Katsuura,JP,35.1333,140.3,82.83,81,35,15.43,scattered clouds
66,Mogadouro,PT,41.3403,-6.7119,57.74,76,1,4.23,clear sky
67,Port Elizabeth,ZA,-33.918,25.5701,59.31,81,0,21.85,clear sky
68,Laguna,US,38.421,-121.4238,77.45,61,0,5.75,clear sky
69,Tasiilaq,GL,65.6145,-37.6368,42.96,96,100,2.01,overcast clouds
70,Lakatoro,VU,-16.0999,167.4164,80.65,78,12,8.08,few clouds
71,Tarko-Sale,RU,64.9225,77.785,63.99,50,84,12.21,broken clouds
72,Nikolskoye,RU,59.7035,30.7861,70.79,83,100,5.19,overcast clouds
73,Merritt Island,US,28.5392,-80.672,79.0,89,0,3.44,clear sky
74,Butaritari,KI,3.0707,172.7902,82.2,76,21,18.88,few clouds
75,Barra,BR,-11.0894,-43.1417,68.83,65,97,6.82,overcast clouds
76,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,94,25,3.96,scattered clouds
77,Nushki,PK,29.5542,66.0215,88.81,48,24,3.56,few clouds
78,Punta Arenas,CL,-53.15,-70.9167,32.11,86,0,13.8,clear sky
79,Barrow,US,71.2906,-156.7887,35.62,93,100,13.8,moderate rain
80,Cameron Park,US,38.6688,-120.9872,82.45,40,16,1.01,few clouds
81,Hamilton,US,39.1834,-84.5333,72.45,95,40,4.61,fog
82,Haines Junction,CA,60.7522,-137.5108,62.55,42,60,9.22,broken clouds
83,Chuy,UY,-33.6971,-53.4616,57.94,96,35,1.81,scattered clouds
84,Taoudenni,ML,22.6783,-3.9836,91.92,10,0,10.96,clear sky
85,Swan Hill,AU,-35.3378,143.5544,59.18,49,92,11.5,overcast clouds
86,Lebu,CL,-37.6167,-73.65,49.1,88,46,10.63,scattered clouds
87,Yar-Sale,RU,66.8333,70.8333,60.3,55,89,8.81,overcast clouds
88,Bogashevo,RU,56.3683,85.1447,76.98,60,0,2.24,clear sky
89,The Pas,CA,53.8251,-101.2541,59.02,88,100,13.8,overcast clouds
